UID	Lncbook_id	Lncbook_trans_id	transcript_id
ELH000044	HSALNG0006799	HSALNT0295429	HSALNT0295429
ELH000044	HSALNG0006799	HSALNT0295430	HSALNT0295430
ELH000044	HSALNG0006799	HSALNT0295431	HSALNT0295431
ELH000044	HSALNG0006799	HSALNT0295432	HSALNT0295432
ELH000044	HSALNG0006799	HSALNT0295433	HSALNT0295433
ELH000044	HSALNG0006799	HSALNT0295434	HSALNT0295434
ELH000044	HSALNG0006799	HSALNT0295435	HSALNT0295435
ELH000044	HSALNG0006799	HSALNT0295436	HSALNT0295436
ELH000069	HSALNG0007683	HSALNT0015994	HSALNT0015994
ELH000069	HSALNG0007683	HSALNT0015995	HSALNT0015995
ELH000069	HSALNG0007683	HSALNT0016001	HSALNT0016001
ELH000069	HSALNG0007683	HSALNT0016002	HSALNT0016002
ELH000069	HSALNG0007683	HSALNT0016004	HSALNT0016004
ELH000069	HSALNG0007683	HSALNT0016005	HSALNT0016005
ELH000069	HSALNG0007683	HSALNT0296032	HSALNT0296032
ELH000069	HSALNG0007683	HSALNT0296033	HSALNT0296033
ELH000069	HSALNG0007683	HSALNT0296034	HSALNT0296034
ELH000071	HSALNG0007689	HSALNT0016007	HSALNT0016007
ELH000071	HSALNG0007689	HSALNT0296035	HSALNT0296035
ELH000074	HSALNG0007932	HSALNT0016472	HSALNT0016472
ELH000074	HSALNG0007932	HSALNT0016473	HSALNT0016473
ELH000075	HSALNG0007958	HSALNT0016517	HSALNT0016517
ELH000075	HSALNG0007958	HSALNT0296209	HSALNT0296209
ELH000082	HSALNG0008229	HSALNT0017042	HSALNT0017042
ELH000089	HSALNG0008544	HSALNT0017656	HSALNT0017656
ELH000089	HSALNG0008544	HSALNT0017657	HSALNT0017657
ELH000090	HSALNG0008545	HSALNT0017659	HSALNT0017659
ELH000090	HSALNG0008545	HSALNT0017660	HSALNT0017660
ELH000090	HSALNG0008545	HSALNT0017661	HSALNT0017661
ELH000090	HSALNG0008545	HSALNT0017663	HSALNT0017663
ELH000090	HSALNG0008545	HSALNT0017666	HSALNT0017666
ELH000090	HSALNG0008545	HSALNT0017667	HSALNT0017667
ELH000090	HSALNG0008545	HSALNT0017670	HSALNT0017670
ELH000090	HSALNG0008545	HSALNT0017671	HSALNT0017671
ELH000090	HSALNG0008545	HSALNT0017679	HSALNT0017679
ELH000090	HSALNG0008545	HSALNT0017696	HSALNT0017696
ELH000090	HSALNG0008545	HSALNT0017697	HSALNT0017697
ELH000090	HSALNG0008545	HSALNT0017700	HSALNT0017700
ELH000090	HSALNG0008545	HSALNT0017701	HSALNT0017701
ELH000090	HSALNG0008545	HSALNT0017702	HSALNT0017702
ELH000090	HSALNG0008545	HSALNT0017703	HSALNT0017703
ELH000090	HSALNG0008545	HSALNT0017704	HSALNT0017704
ELH000090	HSALNG0008545	HSALNT0017705	HSALNT0017705
ELH000090	HSALNG0008545	HSALNT0017706	HSALNT0017706
ELH000090	HSALNG0008545	HSALNT0017716	HSALNT0017716
ELH000090	HSALNG0008545	HSALNT0017717	HSALNT0017717
ELH000090	HSALNG0008545	HSALNT0017719	HSALNT0017719
ELH000090	HSALNG0008545	HSALNT0017720	HSALNT0017720
ELH000090	HSALNG0008545	HSALNT0017721	HSALNT0017721
ELH000090	HSALNG0008545	HSALNT0017722	HSALNT0017722
