LINC01886	HSALNG0017685
GACAT1	HSALNG0017694
RGPD4-AS1	HSALNG0017695
LINC01593,LINC01594	HSALNG0017707
GCC2-AS1	HSALNG0017733
LIMS1-AS1	HSALNG0146564
SH3RF3-AS1	HSALNG0017770
LINC01123	HSALNG0017805
LINC01106	HSALNG0017834
MIR4435-2HG	HSALNG0017865
ACOXL-AS1	HSALNG0017866
SOCAR	HSALNG0017884
PAX8-AS1	HSALNG0018036
LINC01961	HSALNG0018065
PGM5P4-AS1	HSALNG0018066
FAM138B	HSALNG0018067
ACTR3-AS1	HSALNG0018095
LINC01191	HSALNG0018112
DPP10-AS3	HSALNG0018134
DPP10-AS2	HSALNG0018135
DPP10-AS1	HSALNG0018139
THORLNC	HSALNG0018258
LINC01956	HSALNG0018290
STEAP3-AS1	HSALNG0018314
LINC01101	HSALNG0141631
NIFK-AS1	HSALNG0018445
LINC01823	HSALNG0018463
LINC01826	HSALNG0146581
LINC01889	HSALNG0018550
LINC01941	HSALNG0018561
MAP3K2-DT	HSALNG0018617
LINC01854	HSALNG0018725
LINC02572	HSALNG0018748
LINC01856	HSALNG0018755
RAB6C-AS1	HSALNG0018758
POTEF-AS1	HSALNG0018776
LINC01120	HSALNG0018889
LINC01087	HSALNG0018910
LINC01945	HSALNG0018934
NCKAP5-AS1	HSALNG0018987
NCKAP5-AS2	HSALNG0018992
NCKAP5-IT1	HSALNG0018994
CCNT2-AS1	HSALNG0019034
LCT-AS1	HSALNG0019077
DARS-AS1	HSALNG0019085
LINC01832	HSALNG0019156
LINC02631	HSALNG0019176
LINC01853	HSALNG0019228
ARHGAP15-AS1	HSALNG0019316
ZEB2-AS1,LINC01412	HSALNG0019362
TEX41	HSALNG0019370
LINC01966	HSALNG0019371
LINC01911	HSALNG0019455
KIF5C-AS1	HSALNG0019510
MMADHC-DT	HSALNG0019537
LINC01931	HSALNG0019541
LINC01818	HSALNG0019554
LINC01817	HSALNG0019557
LINC01920	HSALNG0019572
LINC02612	HSALNG0019578
LINC01850	HSALNG0019695
LINC01876	HSALNG0019776
LINC01958	HSALNG0019806
UPP2-IT1	HSALNG0019864
CCDC148-AS1	HSALNG0019865
PKP4-AS1	HSALNG0019879
LINC02478	HSALNG0019953
LINC01806	HSALNG0019994
DPP4-DT	HSALNG0020015
KCNH7-AS1	HSALNG0020048
TTC21B-AS1	HSALNG0020157
SCN1A-AS1	HSALNG0020158
XIRP2-AS1	HSALNG0020186
B3GALT1-AS1	HSALNG0020200
CERS6-AS1	HSALNG0020219
MYO3B-AS1	HSALNG0020299
LINC01124	HSALNG0146650
DLX2-DT	HSALNG0020370
ITGA6-AS1	HSALNG0020385
RAPGEF4-AS1	HSALNG0020397
MAP3K20-AS1	HSALNG0020412
LINC01960	HSALNG0146267
LINC01305	HSALNG0020489
HOXD-AS2	HSALNG0020588
HAGLR	HSALNG0020594
HAGLROS	HSALNG0020595
LINC01117	HSALNG0020612
LINC01116	HSALNG0020625
PDE11A-AS1	HSALNG0020678
CHROMR	HSALNG0020702
TTN-AS1	HSALNG0020713
SCHLAP1	HSALNG0020769
LINC01934	HSALNG0020782
FSIP2-AS2,FSIP2-AS1,LINC01473	HSALNG0020923
LINC01090	HSALNG0021008
OSGEPL1-AS1	HSALNG0021071
CAVIN2-AS1	HSALNG0021192
PCGEM1	HSALNG0021208
LINC01821	HSALNG0021273
LINC01827	HSALNG0021276
LINC01790	HSALNG0021275
LINC01825	HSALNG0021290
HECW2-AS1	HSALNG0021310
ANKRD44-AS1	HSALNG0021358
ANKRD44-IT1	HSALNG0021362
LINC01923	HSALNG0021405
SATB2-AS1	HSALNG0021423
LINC01877	HSALNG0021435
LINC01792	HSALNG0021489
BZW1-AS1	HSALNG0021491
CFLAR-AS1	HSALNG0021529
KIAA2012-AS1	HSALNG0021593
GPR1-AS	HSALNG0021792
KLF7-IT1	HSALNG0021848
MYOSLID	HSALNG0021850
MYOSLID-AS1	HSALNG0021855
LINC01802	HSALNG0021859
LINC01857	HSALNG0021881
IDH1-AS1	HSALNG0021909
KANSL1L-AS1	HSALNG0021947
LANCL1-AS1	HSALNG0021968
CPS1-IT1	HSALNG0021972
LINC01878	HSALNG0022015
LINC01953	HSALNG0022026
SPAG16-DT	HSALNG0022034
VWC2L-IT1	HSALNG0022051
SNHG31	HSALNG0022054
LINC02862	HSALNG0022061
LINC01614	HSALNG0022084
LINC00607	HSALNG0022087
LINC01963	HSALNG0022112
LINC01280	HSALNG0022132
DIRC3-AS1,LINC01921	HSALNG0022142
DIRC3	HSALNG0022192
CATIP-AS2	HSALNG0022252
CATIP-AS1	HSALNG0022253
LINC01494	HSALNG0022311
LINC00608	HSALNG0022320
ASIC4-AS1	HSALNG0022381
LINC02832	HSALNG0022417
LINC01803	HSALNG0022431
ACSL3-AS1	HSALNG0022557
MFF-DT	HSALNG0022730
LINC01807	HSALNG0022793
FBXO36-IT1	HSALNG0022840
LINC01907	HSALNG0022889
GCSIR	HSALNG0022903
SPATA3-AS1	HSALNG0022908
LINC00471	HSALNG0146742
LINC01891	HSALNG0023161
LINC01173	HSALNG0023183
AGAP1-IT1	HSALNG0023240
IQCA1-AS1	HSALNG0023262
KLHL30-AS1	HSALNG0146755
LINC02610	HSALNG0023418
LINC01107	HSALNG0023445
LINC01937	HSALNG0023447
LINC01940	HSALNG0146758
HDAC4-AS1	HSALNG0023501
CAPN10-DT	HSALNG0023597
BOK-AS1	HSALNG0023698
LINC01237,LINC01238	HSALNG0023737
LINC01880	HSALNG0023745
LINC01881	HSALNG0023749
LINC01986	HSALNG0023756
CHL1-AS2	HSALNG0023765
CHL1-AS1	HSALNG0023773
LINC01266	HSALNG0023782
CNTN4-AS2	HSALNG0023821
CNTN4-AS1	HSALNG0023828
ITPR1-DT	HSALNG0023876
EGOT	HSALNG0023880
BHLHE40-AS1	HSALNG0023884
GRM7-AS3	HSALNG0023945
GRM7-AS2	HSALNG0023949
LMCD1-AS1,GRM7-AS1	HSALNG0023952
LINC00312	HSALNG0141632
SRGAP3-AS1	HSALNG0024005
SRGAP3-AS2	HSALNG0024008
SRGAP3-AS3	HSALNG0024010
SRGAP3-AS4	HSALNG0024011
THUMPD3-AS1	HSALNG0024012
PRRT3-AS1	HSALNG0024078
EMC3-AS1	HSALNG0024079
GHRLOS,LINC00852	HSALNG0024099
ATP2B2-IT1	HSALNG0024115
ATP2B2-IT2	HSALNG0024118
LINC00606	HSALNG0024119
SLC6A1-AS1	HSALNG0024134
LINC02022	HSALNG0024251
HDAC11-AS1	HSALNG0024285
LINC00620	HSALNG0024293
LINC01267	HSALNG0024335
LINC02011	HSALNG0024361
FGD5-AS1	HSALNG0024362
SH3BP5-AS1	HSALNG0024394
EAF1-AS1	HSALNG0024414
LINC00690	HSALNG0024487
PLCL2-AS1	HSALNG0024502
SATB1-AS1	HSALNG0024541
SGO1-AS1	HSALNG0024588
ZNF385D-AS1	HSALNG0024624
ZNF385D-AS2	HSALNG0024629
UBE2E2-AS1	HSALNG0024658
UBE2E1-AS1	HSALNG0024683
LINC00691	HSALNG0024708
THRB-IT1	HSALNG0024714
THRB-AS1	HSALNG0024715
LINC00692	HSALNG0024755
LINC02084	HSALNG0024810
LINC01980	HSALNG0024815
LINC01967	HSALNG0024818
LINC01981	HSALNG0024819
RBMS3-AS3	HSALNG0024869
RBMS3-AS2	HSALNG0024881
RBMS3-AS1	HSALNG0024886
LINC01985	HSALNG0024913
OSBPL10-AS1	HSALNG0024965
CNOT10-AS1	HSALNG0025013
LINC01811	HSALNG0025088
ARPP21-AS1	HSALNG0025116
LINC02033	HSALNG0025147
ITGA9-AS1	HSALNG0025192
ACVR2B-AS1	HSALNG0025231
