UID,variation_id
ELH000997,126723;126729;126734;126737;141627;142586;185218;219641;220310;219518;232594;229674;246042;265572;265368;265571;371971;371966;402307;402306;450256;460986;460990;482036;480277;492218;492214;577564;575221;580775;630713;633344;803231;927179;933181;950529;951698;938626;2583839;1075746;1069812;1455890;1379059;1456864;1696821;1729842;1992923;2029852;2099805;2089716;2431285;2453309;2567556;2567561;2673828;2673838;2673840;2673863;2673879;2674053;2674054;2674056;2674070;2674080;2674089;2674107;2674110;2674113;2674126;2674136;2674158;2674166;2674167;2674181;2674187;2687483;3010202;126715;141501;224540;229713;231919;265552;410207;430596;460978;480263;480290;492212;572281;617778;632616;659444;823062;863876;1210162;1329323;1453938;1728819;2032641;2573823;2584334;2673830;2673833;2673839;2674035;2674059;2674100;2674102;2674165;2697240
ELH001012,144023;144025;373407;384291;420567;520871;520640;985456;998075;1071733;1184977;1324716;1805314;1805419;1810219;2582828;3024257
ELH001060,1678160;3015802;471720;979076;982335;1451428;1677985;1678106;2199590;2015715;2709626;2844838;3068796
ELH001144,1339649
ELH001161,392120;418158;1075158;1455328;1678848;2444137;2682779;2888230;3013251
ELH001170,438653;449859;476700;543125;571628;584762;807722;872897;978564;1075590;1453898;1456851;1696388;2036794;2099254;2134883;2445335;2630893;2628421;2664749;2690974;2925477;2925478;2935211;2944909;2944949;2948304
ELH001171,31678
ELH001174,1805747;1805747
ELH001180,3141;52989;53035;53036;53037;200867;200889;200878;200915;200910;220309;254159;405258;420658;419579;429656;431053;449221;488859;488698;489011;523933;523769;560702;663623;684802;933168;1072801;1074347;1075209;1454382;1522663;1457098;1489978;1787905;1786030;2035007;2440963;2502315;2744490;2748943;2801649;2899907;3076068;53045;53047;53048;67072;200872;200891;200892;200874;207969;421737;684787;1350731;2575067;2575070;2724418;3114;3117;3118;37255;53050;53052;53053;53054;53055;53056;53057;53058;53059;53060;53061;53063;53064;53069;53070;53072;53076;53077;53083;53086;53087;53088;53089;53090;53091;53092;53095;53096;53099;53100;53102;67081;67084;67090;67093;67094;67096;67099;67100;67101;67105;200881;200814;200815;200870;200894;200882;200817;200912;200895;200818;200819;200896;200897;200822;207967;207971;237228;253221;263738;265209;280173;378906;405255;405265;405262;420529;432149;438610;449283;519357;519537;519257;519369;573008;573523;570590;656121;665471;651458;817016;817323;817280;855976;842276;869436;869434;869440;926958;983022;1004846;1067403;1342708;1438413;1414164;1452627;1455898;1437397;1493047;1709048;1802109;2136957;2004187;2102490;2446426;2567545;2814371;2828480;2836375;2904944;3115;3116;3119;3120;3121;3122;3123;3127;3134;3135;3144;3145;36439;52927;52928;52929;52930;52932;52933;52936;52937;52938;52939;52940;52941;52942;52946;52950;52955;52956;52957;52958;52962;52963;52964;52972;53103;53104;53106;53107;53108;53109;53110;53112;53114;53115;53116;53117;53119;53122;53124;53126;53127;53132;53133;53136;53138;53139;53140;53141;53142;53145;53148;53149;53151;53152;53153;67005;67006;67106;67115;67121;67122;67123;67129;67130;189232;200898;200899;200883;200826;200828;200830;200893;200831;3000119;200835;200837;200839;200901;200902;200845;237221;372568;379504;405253;405254;405263;405261;405268;449302;456869;560359;560649;582668;581004;581345;620198;620103;660595;812675;861314;842027;844409;869435;919956;939724;960695;966649;1038475;1056776;1076090;1179766;1185948;1212402;1439097;1416082;1457672;1445000;1449449;1395670;1451451;1454915;1454509;1384067;1411474;1500707;1488375;1711271;1771701;1791538;2136962;1879152;1950175;2017498;2017757;2030049;2129108;2124553;2130527;2440959;2453279;2498480;2574013;2575063;2575064;2575065;2575071;2575074;2587403;2692770;2719407;2723186;2735505;2807267;2811762;2830594;2837284;2971269;2982293;52973;52974;52975;52977;52978;200843;431370;526930;925351;922607;930315;983047;1067022;1068919;1342782;1426804;1769838;2028871;2773474;2773478;52984;52985;52986;200847;200884;207972;926196;1066272;1500718;1708065;2575068;2725492;2773480
ELH001191,208069;224882;224881;224883;224880;420199;504302;503858;694718;817256;1475865;1805968;2581716;2629728;374637;419978;447832;447830;447827;447826;447825;447824;447823;447822;447820;447819;447818;447794;447792;447789;546089;585603;585602;585598;803539;803540;808495;808496;870211;872533;916336;930703;973083;975941;975967;987025;994829;994828;994827;994826;1256492;1256495;1256513;1256516;1339489;1678547;1701357;1709076;1709532;1709822;1709940;1805526;1807354;1807357;1807365;1807381;1807383;1807385;1807391;1895440;2428523;2501691;2572441;2578822;2637069;2684131;2684135;2684137;2736832;2972905;3026520;9218;9219;9220;9223;9224;9225;161467;208501;217882;280277;430381;447779;447778;447777;447776;447775;447873;447872;447868;447867;447864;447861;447858;447855;447854;447850;447849;447848;447846;447838;447837;447836;447835;447828;447816;447812;447808;447806;447803;447802;447793;447791;447786;447785;447781;451938;493249;523370;546834;585595;585594;585593;585592;585591;585590;585613;585612;585611;585610;585609;585608;585607;585606;585605;585604;585601;585600;585599;585597;585596;632306;804633;810777;810779;810776;811362;811998;812744;872534;872948;932357;972687;976176;995690;994823;994540;994539;995059;995057;994849;994848;994560;994839;995327;995322;995318;995045;1013146;1064640;1173096;1175947;1256484;1256497;1256502;1256523;1256528;1256529;1256530;1256533;1256541;1256542;1297039;1365706;1508045;1687327;1701358;1709613;1709694;1709971;1803216;1807351;1807353;1807362;1807364;1807386;1807387;1807396;1807398;1807404;2138257;1879844;1879845;2082702;2498762;2628359;2649443;2683096;2683875;2684123;2684124;2684126;2684128;2684129;2684147;2707343;2736834;2736835;2736837;2736839;2856771;2915520;2921222;3026521;3065040;3075663;1685591;1700687;1708222;1708497;2093082;2431678;2920692;2920709;847436;2443328;2715337;2864923;3062000;801419;279799;372938;560326;633806;1526150;911;379536;420584;430019;452538;560333;560331;560316;560330;560318;560337;560328;633807;982566;1723432;909;426495;560313;1392931;1694465
